unique_id,name,firstname,title,namesuffix,fblink1,fblink2,twlink,isListed,list_place,isDC,constituency,constituency_str,state,renewed_candidacy,party,sex,age,residence,birthplace,profession
1581,Kofler,Bärbel,Dr.,NA,https://www.facebook.com/Baerbel.Kofler,NA,https://twitter.com/BaerbelKofler,1,8,1,225,Traunstein,9,1,2,0,1967,Traunstein,Freilassing,MdB
1582,Post,Florian,NA,NA,https://www.facebook.com/florianpost,https://www.facebook.com/flomichaelpost,https://twitter.com/FlorianPost,1,9,1,217,München-Nord,9,1,2,1,1981,München,Neustadt a.d.Waldnaab,MdB / Dipl.-Kaufmann
1583,Dittmar,Sabine,NA,NA,https://www.facebook.com/SabineDittmarMdB,https://www.facebook.com/Sabine.Dittmar.privat,https://twitter.com/dittmarsabine,1,10,1,248,Bad Kissingen,9,1,2,0,1964,Maßbach,Schweinfurt,MdB
1584,Grötsch,Uli,NA,NA,https://www.facebook.com/uli.groetsch,https://www.facebook.com/uli.grot,https://twitter.com/UliGroetsch,1,11,1,235,Weiden,9,1,2,1,1975,Waidhaus,Weiden i.d.Opf.,MdB / Polizeibeamter
1585,Tausend,Claudia,NA,NA,https://www.facebook.com/tausendmalbesser,https://www.facebook.com/c.tausend,NA,1,12,1,218,München-Ost,9,1,2,0,1964,München,Vilsbiburg,MdB / Dipl.-Geografin
1586,Schwarz,Andreas,NA,NA,https://www.facebook.com/andreas.schwarz.spd,NA,https://twitter.com/Schwarz_MdB,1,13,1,236,Bamberg,9,1,2,1,1965,Strullendorf,Berleburg,MdB / Dipl.-Betriebswirt (FH)
1587,Stamm-Fibich,Martina,NA,NA,https://www.facebook.com/martina.stammfibich,NA,https://twitter.com/stamm_fibich,1,14,1,242,Erlangen,9,1,2,0,1965,Möhrendorf,Erlangen,MdB / Marketing- und Kommunikationsmanagerin
1588,Brunner,Karl Heinz,Dr.,NA,https://www.facebook.com/brunner.spd,https://www.facebook.com/karlheinz.brunner.7,https://twitter.com/Brunnerkarl,1,15,1,255,Neu-Ulm,9,1,2,1,1953,Illertissen,München,MdB
1589,Hagl-Kehl,Rita,NA,NA,https://www.facebook.com/Rita.Hagl.Kehl,https://www.facebook.com/rita.hagl,https://twitter.com/RitaHaglKehl,1,16,1,227,Deggendorf,9,1,2,0,1970,Grafenau,Porz am Rhein,MdB / Studienrätin
1590,Schrodi,Michael,NA,NA,https://www.facebook.com/m.schrodi,https://www.facebook.com/michael.schrodi.90,https://twitter.com/mischrodi,1,17,1,215,Fürstenfeldbruck,9,0,2,1,1977,Olching,München,Studienrat
1591,Heinrich,Gabriela,NA,NA,https://www.facebook.com/heinrichgabriela,NA,https://twitter.com/GaHeinrich,1,18,1,244,Nürnberg-Nord,9,1,2,0,1963,Nürnberg,Berlin,MdB / Redakteurin
1592,Träger,Carsten Dietmar,NA,NA,https://www.facebook.com/carstentraegermdb,https://www.facebook.com/carsten.trager,https://twitter.com/CarstenTraeger,1,19,1,243,Fürth,9,1,2,1,1973,Fürth,Fürth,MdB
1593,Bach,Bela,NA,NA,https://www.facebook.com/BelaBachSPD,https://www.facebook.com/bela.bach,https://twitter.com/bela_bach,1,20,1,221,München-Land,9,0,2,0,1990,Planegg,Magdeburg,Studentin
1594,Flisek,Christian,NA,NA,https://www.facebook.com/christian.flisek,NA,https://twitter.com/ChristianFlisek,1,21,1,229,Passau,9,1,2,1,1974,Passau,Bochum,MdB / Rechtsanwalt
